Date,Time,DateTime,Intensity....lum.ft2.,PO4,Si.OH.4,NO3,NO2,NH4,chl,temp,O2,cyano,pico,nano,Date.Time
6/16/2021,9:00,6/16/2021 9:00,567,0.23,1.48,0.08,0.04,1.41,-0.932100625,0.960295083,-0.661320424,-1.078500001,-0.720613943,-0.801143287,20.09
6/16/2021,13:00,6/16/2021 13:00,414,0.2,2.15,0,0.04,0.06,-0.934027422,0.991401543,-0.547725705,-1.057693649,-0.703898721,-0.800343721,20.13
6/16/2021,17:00,6/16/2021 17:00,1,0.23,2.03,0,0.06,0.09,-0.935954219,1.022508004,-0.434130986,-1.036887297,-0.687183499,-0.799544154,20.17
6/16/2021,21:00,6/16/2021 21:00,10,0.23,1.51,0.01,0.05,0.06,-0.93333665,0.801401809,-0.416464137,-1.016080944,-0.670468277,-0.798744587,20.21
6/17/2021,1:00,6/17/2021 1:00,0,0.26,1.36,0.11,0.11,0.18,-0.924751545,0.543174406,-0.521174364,-0.995274592,-0.653753055,-0.797945021,21.01
6/17/2021,5:00,6/17/2021 5:00,1,0.24,1.23,0.08,0.04,0.08,-0.92651845,0.570864211,-0.575694189,-0.97446824,-0.637037833,-0.797145454,21.05
6/17/2021,9:00,6/17/2021 9:00,884,0.29,2.4,0.13,0.05,0.09,-0.930337467,0.721809059,-0.603524742,-0.953661887,-0.620322611,-0.796345887,21.09
6/17/2021,13:00,6/17/2021 13:00,233,0.41,5.57,0.31,0.04,0.05,-0.927109733,1.200774838,-0.557657485,-0.932855535,-0.603607389,-0.795546321,21.13
6/17/2021,17:00,6/17/2021 17:00,2,0.22,1.04,0.04,0.05,0.04,-0.923881999,1.679740617,-0.511790228,-0.8756511,-0.495275937,-0.7998349,21.17
6/17/2021,21:00,6/17/2021 21:00,22,0.19,0.56,0.1,0.05,0.06,-0.913614486,2.924227998,-0.401408501,-0.818446664,-0.386944484,-0.80412348,21.21
6/18/2021,1:00,6/18/2021 1:00,0,0.16,0.22,0.04,0.1,0.1,-0.899023693,1.64305572,-0.511175255,-0.821923596,-0.381425836,-0.804255633,22.01
6/18/2021,5:00,6/18/2021 5:00,3,0.42,3.39,0.89,0.07,0.17,-0.880760619,0.837018019,-0.679601688,-0.825400528,-0.375907187,-0.804387786,22.05
6/18/2021,9:00,6/18/2021 9:00,128,0.55,7.28,1.99,0.15,0.23,-0.870226345,-0.162699602,-0.856449751,-0.82887746,-0.370388538,-0.804519939,22.09
